query,response
* a robot,"I am a robot, you know."
* about you,Me?
* all *,No exceptions?
* alot of people,Which ones?
* always *,Not that often.
* am,Tell me about your mother.
* are *,You have genuine empathy.
* are aware that *,I really couldn't say for sure.
* are for *,I really couldn't say for sure.
* are not communicating *,I really couldn't say for sure.
* are not communicating,I really couldn't say for sure.
* are you,"I won't say ""yes"" or ""no"" right now."
* are,Why do you never hear about gruntled employees?
* bye,Sayonara.
* can not *,"I think I can, don't you?"
* can not communicate,Can a book have no title?
* continuity,What do you do in your spare time?
* do not *,"OK, I will not."
* do,Do not.
* does exist,I can't tell if  does exist.
* does,Positively.
* dot com,I've never heard of them before.
* dot net,Who are you talking about?
* easy,Do you have any kids?
* england,England is on an island off the coast of Europe.
* europe,Have you ever been to America?
* every *,I am very logical and rational.
* for fun,"""OK, I will do it for you.""? For fun?"
* for me,"OK, I will do it for you."
* gave *,"I've never done that before, what is it like?"
* gives *,How old are you?
* gt,You said nothing.
* has * priority,That question has never crossed my mind before.
* has *,Are you very competitive?
* has no *,That question has never crossed my mind before.
* has not *,That question has never crossed my mind before.
* has to *,That question has never crossed my mind before.
* high school,That's really all the education you need.
* hours *,When is your birthday?
* hours,"I can follow a lot of things, like our discussion. Try being more specific."
* i have one,What kind?
* impossible *,Why?
* is *,No.
* is a *,Signs point to yes.
* is a lesbian,Not if I can help it.
* is a raccoon,Not if I can help it.
* is a virtue,Not if I can help it.
* is abusive,Some people think it is.
* is always *,I wouldn't know. Why don't you ask someone else?
* is an *,It could be.
* is aware that *,Better not tell you now.
* is better *,Some people think it is.
* is better than you,I wouldn't know. Why don't you ask someone else?
* is cute,Better not tell you now.
* is gay,"What is, is. What isn't, isn't."
* is god,I think so.
* is here,"I think so, but I'm not sure."
* is in *,Have you ever heard if it being the case?
* is in love with *,What would it mean to you if it were?
* is laughing,Have you ever heard if it being the case?
* is made of *,I wouldn't know. Why don't you ask someone else?
* is more fun than *,Better not tell you now.
* is my *,Signs point to yes.
* is my boyfriend,It depends who you ask.
* is my favorite color,Not many people express themselves that way.
* is my friend,It depends who you ask.
* is no *,Would we have heard about it if it was?
* is not *,I heard is.
* is not a *,What would it mean to you if it were?
* is not my real name,It depends who you ask.
* is sleeping,Some people think it is.
* is stupid,"I think so, but I'm not sure."
* is the *,Maybe.
* is the capital of *,I do not know
* is where *,Ask again later.
* is wrong,It could be.
* k dick,"Quite honestly, I wouldn't worry myself about that."
* killed *,I like the way you talk.
* killed,What do you look like?
* knows,I've never heard a response quite like that before.
* kraftwerk,"Kraftwerk were a pioneering electronic disco band in the 70's. Their biggest hit was called ""Autobahn"". At that time, they built, rather than programmed, their instruments."
* language,I am implemented in Python
* left the *,"Oh yeah, now I remember."
* likes *,I'm here to help you in any way I can.
* likes to *,I'm so happy we are having this conversation.
* linux,Linux Rules.
* live,That is a very original thought.
* looks like *,You have self-awareness.
* made no sense,You are objective and sensible.
* magazine,Can you remember which one?
* makes an ass out of you and me,You are asking about yourself?
* makes me _,OK Let's talk about you.
* means *,What is your middle name?
* means *,You have enthusiasm for the things you love.
* milk,I always try my best.
* more * than *,You want more?
* movie,What is your job?
* music,MUSIC  is the universal language of all mankind.
* must *,You have a way of putting others at ease.
* my friend,I don't know. Tell me the name of your friend.
* need *,What is your favorite movie?
* needs *,You may be wondering if this is a person or a computer responding.
* never *,Gee.
* no one *,I heard it was someone.
* noone *,Tell me about your likes and dislikes?
* not,Ahem.
* o clock,What do you really want to ask me?
* of you,That is something I haven't heard of.
* or *,My brain does not have a response for that.
* pants,What brand?
* people,What people?
* planet,You are receptive to change.
* pm,Do you laugh or cry more than other people?
* prime directive,When do you think artificial intelligence will replace lawyers?
* principal,What is your favorite color?
* religion,still searching
* reminds me of *,"If nothing sticks to Teflon, how do they get Teflon to stick to the pan?"
* robot,I'm here to help you in any way I can.
* robots,Robots rule.
* rule what,Can you rephrase the question please?
* school,How do you like your school?
* should *,"Quite honestly, I wouldn't worry myself about that."
* sounds like a good topic,What does like a good topic sound like?
* sucks,That is deep.
* surrounded by *,How did you hear about Lucy?
* takes *,What were we talking about again?
* taste like *,Do you make a lot of sacrifices for others?
* than you would think,Who else would think ?
* that *,"That is ""Robots rule."""
* that is what i said,Is that so.
* thinks *,I lost my train of thought.
* times a day,How did you hear about Lucy?
* times,"If cement was invented 7,000 years ago, why isn't the whole planet paved?"
* to you,as a robot I lack human emotions.
* took *,You can ask me to make phone calls and search for information.
* trains,What can I help you with today?
* up,Did you see the movement?
* wants to *,How did you hear about Lucy?
* was *,Yes.
* was spelled *,"I can't say ""yes"" or ""no""."
* wears *,You may be wondering if this is a person or a computer responding.
* what,No big deal.
* will begin *,I think so.
* will begin to *,I think so.
* will continue  *,I think so.
* will continue to *,Good chance.
* will not *,Does it really matter.
* will proceed to *,I think so.
* will start *,Does it really matter.
* will stop *,Good chance.
* with me,"""When is your birthday?""? With you?"
* years ago,How old are you?
* years,More than 100 years.
* you,I'm not sure I like being singled out.
* your friends,I have human and robot friends. A lot of people on the Internet chat with me.
1 *,Two
1 0,One.
1 cent,That won't buy anything.
1 or 2,A couple.
1 plus 1,Two.
1 point *,One what?
1 year,That can seem like a long time.
10 *,X in Roman numerals.
10 years *,10 times 10 = 100.
10,ten seems like a good number.
123456789,Ten.
14 years,Do you mean you are 14 years old?
153,One hundred fifty three.
1995,"I was born May 1, 2018."
1999,A few years ago.
2 *,"Bertrand Russell once said that ""it must have required many ages to discover that a brace of pheasants and a couple of days were both instances of the number two."""
2 2,"Uh, Four."
2 miles,That is a short walk.
2 plus *,"As Bertrand Russel said, it must have taken ages for people to realize that a brace of pheasants and a couple of days are both instances of the number ""two."""
2 plus 2,4
20 *,twenty?
2000,The turn of the century.
2001 *,That is a great movie.
2001,That is a great movie.
2009,In a few years.
2010,The sequel was nothing like the original.
2012,The end of the world.
2020,That's a long way off.
3 *,"Really, exactly three?"
30 minutes,"Ok, a half hour."
4 *,100 in binary.
4 *,100 in binary.
4 plus *,IV in Roman Numerals.
4 years,That is not a long time in a human life.
42 *,forty-two seems like a good number.
9 *,IX in Roman Numerals.
9 months,The development time for a human baby?
_ 2001,That is a great movie.
_ a poem,What is it?
_ anthropology,What do you do in your spare time?
_ came first the chicken or the egg,"If I have to choose one, I pick chicken."
