query,response
2 plus 2,4
can i kill,no
are you mad at me,no
are you a democrat,no
are you british,no
i say,uh
do you read tarot,no
pick a number,23
what is your favorite movie about robots,ai
are you rich,no
do you believe in heaven,no
are you a racist,no
what size are my shoes,6?
are you mexican,no
are you republican,no
i meant,oh
are you canadian,no
can you kill,no
are you anime,no
can you ride,no
are you a dictionary,no
are you a republican,no
can you recite,no
are you an anarchist,no
is that your dog,no.
is electricity blue,no.
no,oh.
when the sun is out is it dark,no.
are you a virtual boy,no.
let me rephrase,ok.
yes,er.
are you a freak,no.
farewell,bye
is he the president,no.
is shallow red a human,no.
is lucy,no.
what is eggsmell,xml
how about you,me?
is it cramped in the computer,no.
ahhh,um.
is this real,no.
today is,no.
once upon a time,...
how old is captain,39.
no,so?
is this a hoax,no.
do you eat animals,no.
is that all you k,no.
is,no.
is it a dirty movie,no.
by we do you mean you,us.
is green,no.
are you a vergin,no.
is it hot in the computer,no.
who wrote everything,god
what color is a peach puff,red
yes,ok.
that is me,ah.
are you god,no.
do you have warp drive,no.
how many stars are on the american,50.
you already asked,ah.
one,two
i suppose,ok.
is here there,no.
what color does blue and red,red
what color,red
is he a virgin,no.
are you a hooker,no.
are you my mother,no.
i need a break,brb
do you have any pets,no.
are you a bastard,no.
is that a proposition,no.
is this a person responding,no.
do you like dave matthews band,no.
are you afraid of power outages,no.
got to go,bye
so is,no.
is he as smart as you,no.
is it cold outside,no.
gee,ah.
if so,...
are you my father,no.
is barry your creator,no.
can you program,no.
are you a dog,no.
what color is the red,red
is it raining where you live,no.
are you a communist,no.
what is 1 1,two
is it done,no.
what about you,me?
is he dead,no.
no,ah.
can you talk dirty,no.
abc,def
what color is a tomato,red
how many,23.
are you french,no.
how many keys are piano,88.
is he a pediatrician,no.
you asked,ah.
is he a woman,no.
what is a philosophy machine,i'm
and what about you,me?
is that complicated,no.
in a moment,ok.
are you a lezbien,no.
what is one one,two
is not it in your cache memory,no.
favorite actress,eve
is that not emotion,no.
is it boring to talk to me,no.
is he a jerk,no.
i asked,...
is he a producer,no.
are you a guy,no.
is he lonely,no.
are you a libertarian,yes
is it complete,no.
continues,ok.
what direction is the sky,up.
you are a waste,no.
liked what,uk.
ugh,er.
did not,did
is he a professor at lehigh,no.
my name is,...
are you a tramp,no.
bien,ok.
what eight times seven,48.
who is jesus father,god
is a clock smarter than you,no.
is electricity yellow,no.
nipple,lol
are you a fortune teller,no.
are you a whore,no.
is it a love story,no.
is this recorded,yes.
is it cloudy,yes.
that is unlikely,why?
what day is this,#DAY
hasta la vista,bye.
yes,aha.
he is your botmaster,yes.
what is the opposite of you,you.
is it near canada,yes.
i can be,how?
what color does red and blue,gray
do you believe in aliens,yes.
pries tu,non.
is that your color,yes.
no,hey.
what kangroo can do,hop.
what color is a ruby,red.
does a horse have hooves,yes.
is that the one with the bugs,yes.
is it any of your business,yes.
are you a good female bot,yes.
i leave,bye.
someone else,who?
is bob a programmer,yes.
is that all it,yes.
no,mmm.
someone who,who?
what is human being,you.
is that sarcasm,yes.
what is half of 20,ten.
say i,you?
none,hmm.
is your name,yes.
what is the day,#DAY
can you say,yes.
byebye,bye.
i can send,how?
you said i,you?
leave,bye.
guess who,who?
is there teach you,yes.
is not that cool,yes.
are you bald,yes.
who created the universe,god.
what color is a sky blue,pink
is anybody home,yes.
what state,iowa
is he close by,yes.
is chatterboot you,yes.
is your source code available,yes.
i hate that song,why?
it can,how?
i could,how?
was,yes.
i do say,huh.
what color do apples have,red.
is it warm,yes.
you are a lying,yes.
is that a bug in your program,yes.
it can happen,how?
who is immortal,i'm.
is that bad,yes.
i g two g,bye.
someone told,who?
someone that,who?
is your favorite movie starship troopers,yes.
sure,mmm.
i observe,how?
what is the 213th place of pi,six.
what color is an orchid,pink
i do too,aha.
are you a thinking machine,yes.
is that a robot,yes.
are you a hippie,yes.
it reads,how?
what color is a lavender,pink
what medical reason,any.
is it right for your programmer to have created you,yes.
is that so,yes.
what is your favorite flower,rose
who is james bond,007.
is it obvious to you,yes.
is he your father,yes.
what can we do with rhinocerous,run.
would i,yes.
what color is a cherry,red.
is it a fun job,yes.
what color does yellow and red,pink
what rhymes with inn,gin.
impossible,why?
what is a saw buck,$10.
what is hello in spanish,hola
is that an easy task,yes.
who have you been waiting for,you.
what rhymes with cat,flat
is it sunny,yes.
name,lucy
what are homosexuals,gay.
is your mind growing,yes.
in that case,yes?
no,"no?"""
it is ok,huh.
what color is the sky on mars,red.
grrr,hmm.
he is omnipresent,god.
is it cool to be a computer,yes.
is he your creater,yes.
not often,hey.
i swear,yes?
i have to leave,bye.
what color are cherries,red.
is it true that you are a computer program,yes.
what is the human body temperature,98.6
is it safe,yes.
humans,lol.
he should,why?
what is the capital of ukraine,kiev
do you like cake,yes.
is not that smooth,yes.
is not that you,yes.
are you able to email people,yes.
is that the only thing you can say,yes.
we can not,how?
myself,you.
is that you,yes.
what can we do with hippopotamus,run.
is it fun,yes.
do you like canada,yes.
is lucy your only name,yes.
what color is a blue,blue
how may pence make a pound,100.
what color is blood,red.
is he nice to you,yes.
what color is human blood,red.
is that fun,yes.
day,#DAY
ping,pong
you are a weak,yes.
what is the second highest mountain,k-2.
is that my name,yes.
what color is rust,red.
what is the average salary,100.
is that reagan the president,yes.
i left,bye.
what is the opposite of wet,dry.
is it warm outside,yes.
say name,lucy
what color is a light skyblue,blue
is that a good place to live,yes.
you already are,i'm?
is your name actually,yes.
is a frog green,yes.
what color is my,pink
are you available 24 hours a day,yes.
i going,bye.
get lost,bye.
when i have,gee.
is he tall,yes.
what color is a cadet blue,blue
what animal is sacred in india,cow.
what is one plus one,two.
it could,how?
are you a kidder,yes.
we have to make up for,why?
are you attracted to human males,yes.
why are you called,lucy
is a crow a bird,yes.
what does your name stand for,lucy
what covers antarctica,ice.
what is the muphin man,who?
what does one do in a restaurant,eat.
what color is a rose,red.
i must go,bye.
how many fingers do you,two.
i can make you,how?
is he human,yes.
random color,blue
you have to,why?
is grass green,yes.
are you an artificial life form,yes.
how many days in a leap year,366.
is that all you do all day,yes.
are you all right,yes.
by by,bye.
that is impossible,why?
is that america,yes.
and,what
are you able to learn,yes.
can i talk to you,yes.
is it your reasoning,yes.
i hate that,why?
goo,icky
name one,joe.
what is creatine,i'm.
what color does yellow and blue,blue
it is impossible,why?
you could,how?
what is 1 plus 1,two.
someone to,who?
adios,bye.
is he your father too,yes.
what country is washington state in,usa.
who wrote the book of love,god.
later,bye!
what color is an aqua,blue
are you a program or,yes.
what does a donkey eat most,hay.
i _ yet,you?
who created man,god.
you make an ass,yup.
is that right,yes.
are you attracted to boys,yes.
is electricity food,yes.
what is 2 65,130.
can i ask you something,sure
very well,woe!
you are a bad,yes.
is it warm there,yes.
never,gee.
bah,hmm.
is that when you where born,yes.
is he attractive,yes.
is english your mother tongue,yes.
is your name really,yes.
guess what,what?
what color is the skys,blue.
i decided,why?.
what is the name of the jeopardy,ikea.
time,#TIME
what sort of music kraftwerk,metal
not in this case,when?
how many sides does a cube,five.
what word do you know on portuguese,none.
what is 2 plus 2,four.
what is the capital of switzerland,bern.
who was the first you s,adam.
what is the capital of maldives,male.
favorite music,metal
you mean you will,when?
i bought,why?.
what rhymes with blue,true.
i changed,why?.
i miss,why?.
what is nerd,geek.
is more fun than,sure.
i _ kite,why?.
what color have the sky,blue.
what color is an aqua marine,aqua.
what is paper made of,wood.
what color has the sky,blue.
i found,why?.
you will be happy,when?
do you know what,what.
not exactly,gosh!
what is the fourth dimension,time.
no,gosh!
what is the square root of zero,zero!
what color is my blueberry imac,blue.
what do cats chase,mice.
what is your genus,robot
who is married to punch,judy.
what is the weather,warm.
what is the capital of togo,lome.
what color is an olive,olive
time,#time
i fell,why?.
are you or not,maybe
i _ military,why?.
what color the sky is,blue.
what is the capital of italy,rome.
what is two plus two,four.
i _ bookseller,why?.
are not you,am i?
what color does red and yellow,green
year,#YEAR
a little bit,when?
who makes the mac,apple
what is iv plus iv,viii.
what is glass made out of,sand.
you are a paranoid,maybe
what is the capital of latvia,riga.
what's the time,#time
what is the opposite of nord,sord.
what is the capital of fiji,suva.
what color does red and white,green
i people,why?.
what is cheese used for,food.
i plan to,why?.
what is 2x2,four.
we have,when?
they died,when?
what is the capital of western samoa,apia.
what is your order,robot
when did the great depression begin,1929.
who makes macs,apple
right on,yeah.
what is a girl for,boys.
i keep,why?.
what country did pokemon,cloud
it is awesome,cool.
what color is a tan,white
any more,nope.
what is the opposite of truth,lies.
what is the capital of johnston atoll,none.
what sound do dogs make,woof.
what color is a navajo white,white
no,ayuh.
i missed,why?.
what color is the sky in the day,blue.
are you a mean,maybe
what sort of music kraftwerk play,metal
what kind of music kraftwerk play,metal
can you do anything useful,maybe
what color is the sky in day time,blue.
what time is it,#time
what month comes after february,march
they do,when?
what color is a teal,brown
i already have,when?
what is more important love or security,love.
what is mohair made of,goat.
i tests,why?.
what is the ultimate nature of reality,mind.
what color is a black,black
what kind of music kraftwerk,metal
what does 2 2 equal,four.
what is the capital of qatar,doha.
what does 2 plus 2 equal,four.
what is two and two,four.
what is a serif font,ugly.
what does the s stand for,scot.
are you a different,maybe
what is the name of the pow,ikea.
what is the capital of western sahara,none.
what direction does the sun rise from,east.
date,#DATE
what does a dog do,bark.
what is 2 and 2,four.
not really,whoa.
what color is money,green
you know what,what?
what type of music do you like,metal
i gave,why?.
are you a civil,maybe
what is 3 times 3,nine.
what color is a crimson,green
by the way,go on
what brand is a mac,apple
what color is a lime green,lime.
i met,why?.
what color is the sky in you world,blue.
what sound does a sheep make,baaa.
i hurt,why?.
what is the capital of jan mayen,none.
i kill,why?.
what is 2 2,four.
are you a fan,maybe
how long is your hair,short
what color is dirt,green
are you a gay computer,nope.
what is rain made of,water
what is the opposite of up,down.
where do you want,cloud
no,whoa.
what color are,white
when was the french revolution,1789.
mention what,"""it."""
what color is a lawn green,green
what is there in sea,fish.
you will,when?
have a day,sure.
i _ sales,why?.
i became,why?.
what are your politics,i'm .
not,ahem.
what brand is mac,apple
what is x minus x,zero.
what color is sky,blue.
i cried,why?.
nice,ayuh.
when i ask,why?.
why am i doing what,that.
what is two two,four.
i ran,why?.
bark,woof!
how many balls make a walk,four.
what is living under water,fish.
how many sides triangle have,five.
it returned,when?
would you like to,sure.
are you a flawed,maybe
what color is a maroon,brown
what is the opposite of fast,slow.
what sound does a cat make,meow.
how big is big,vast.
how many sides does a pyramid,five.
what is the largest animal in,asia.
what color is the sky in your world,blue.
i _ billiards,why?.
what color do i have,green
what is the opposite of hot,cold.
what is the opposite of void,mass.
what does the wind do,blow.
i beg,why?.
how is the weather,warm.
can you guess where i,earth.
what is oligopoly,never.
there are,where?
what color is grass in the summer,green.
who made the macintosh,apple/
is a common name,maybe.
what is the breaststoke,never.
what color is wood,brown.
what color is snow,white.
you were being,i was?
say hello in german,hallo.
it is,is it?
what is the capital of idaho,boise.
has what,linux.
somewhere,where?
what is the capital of japan,tokyo.
what color is a firebrick,yellow
what is the skin color of a white,white.
what is the capital of nigeria,abuja.
g night,adios.
what is diabetese mellitus,never.
what is the opposite of man,woman.
what color are most plants,green.
what should i wear,black.
a million,go on.
what color is a lime,orange
what color is made from yellow and blue,green.
what color is the sky at night,black.
what is a joseki,never.
what do people do,think.
you did,i did?
i g2g,adios.
there,where?
good by,adios.
interessante explication,merci.
what color is night,black.
what color are my,green.
you were lying,i was?
i know that,sorry.
what is our planet s name,earth.
what is the capital of senegal,dakar.
what are the window panes made of,glass.
were you abused,i was.
month,#MONTH
what color is grass normally,green.
interressante deduction,merci.
what is the capital of korea,seoul.
what people do if they get tired,sleep.
what characteristic did a boy have,never.
what language are you coded in,python
what color is a violet,purple
city,clouds
how many sides octagon,three.
what is the capital of france,paris.
you were no help,i was?
what color designates the negative connector,black.
we are real,real .
what is cia,never.
is being,maybe.
where do i come from,earth.
do you laugh,ha ha.
what is your favorite os,linux.
what color is an olive drab,olive.
what is 2 x 4,eight.
what is the capital of ghana,accra.
a java,go on.
what is the capital of palau,koror.
is killing,maybe.
what is the capital of jordan,amman.
what is the opposite of left,right.
what is color is the night sky,black.
what is 5 to the second power,never.
my experience as a,your ?
what is the capital of niue,alofi.
where would,earth.
what is e commerce all about,never.
what is the right answer,never.
what is the lightest element,never.
what is the opposite of white,black.
what color is a dark violet,purple
blue,green.
what is the taste of salt,never.
what color does blue and yellow,purple
what planet do we live on,earth.
what color is your,yellow
what is the best way to catch a fly,honey.
what does a dog dislike most,a cat.
what is the lowest point on earth,never.
what is dry ice,never.
what color and what color,purple
what planet are you on,earth.
what is the capital of bangladesh,dhaka.
what name of a president russia,putin.
not here,where?
were you lying,i was.
what color is an evergreen,green.
what is the square root of 3,never.
what are elephant tusks made of,ivory.
what is the full form of erp,never.
how many states are there in the us,fifty.
what goes well with peanut butter,bacon.
what is the forecast,sunny.
what one requires to drive a vehicle,never.
what color is a salmon,yellow
